1,1.2.0.0/16,"(1, 11537, 10886, 27)"
1,1.2.3.0/24,"(1, 11537, 557, 13335, 15830, 198949, 396450, 2152, 25)"
10,1.2.0.0/16,"(10, 263771, 174, 10886, 27)"
10,1.2.3.0/24,"(10, 36926, 37662, 9498, 198949, 396450, 2152, 25)"
100,1.2.0.0/16,"(100, 16158, 174, 10886, 27)"
100,1.2.3.0/24,"(100, 40620, 33651, 3356, 2152, 25)"
1000,1.2.0.0/16,"(1000, 396433, 393775, 6939, 52025, 42, 10886, 27)"
1000,1.2.3.0/24,"(1000, 396433, 32765, 13807, 4826, 198949, 396450, 2152, 25)"
10000,1.2.0.0/16,"(10000, 2500, 7660, 11537, 10886, 27)"
10000,1.2.3.0/24,"(10000, 9002, 198949, 396450, 2152, 25)"
10001,1.2.0.0/16,"(10001, 6939, 52025, 42, 10886, 27)"
10001,1.2.3.0/24,"(10001, 6939, 4826, 198949, 396450, 2152, 25)"
10002,1.2.0.0/16,"(10002, 2500, 7660, 11537, 10886, 27)"
10002,1.2.3.0/24,"(10002, 9002, 198949, 396450, 2152, 25)"
10003,1.2.0.0/16,"(10003, 6939, 52025, 42, 10886, 27)"
10003,1.2.3.0/24,"(10003, 9002, 198949, 396450, 2152, 25)"
10004,1.2.0.0/16,"(10004, 2500, 7660, 11537, 10886, 27)"
10004,1.2.3.0/24,"(10004, 9002, 198949, 396450, 2152, 25)"
10006,1.2.0.0/16,"(10006, 6939, 52025, 42, 10886, 27)"
10006,1.2.3.0/24,"(10006, 9002, 198949, 396450, 2152, 25)"
1001,1.2.0.0/16,"(1001, 6939, 52025, 42, 10886, 27)"
1001,1.2.3.0/24,"(1001, 6939, 4826, 198949, 396450, 2152, 25)"
10010,1.2.0.0/16,"(10010, 2500, 7660, 11537, 10886, 27)"
10010,1.2.3.0/24,"(10010, 9002, 198949, 396450, 2152, 25)"
10011,1.2.0.0/16,"(10011, 6939, 52025, 42, 10886, 27)"
10011,1.2.3.0/24,"(10011, 9002, 198949, 396450, 2152, 25)"
10012,1.2.0.0/16,"(10012, 138384, 2500, 7660, 11537, 10886, 27)"
10012,1.2.3.0/24,"(10012, 138384, 9002, 198949, 396450, 2152, 25)"
10013,1.2.0.0/16,"(10013, 8220, 7473, 20473, 52025, 42, 10886, 27)"
10013,1.2.3.0/24,"(10013, 8220, 7473, 9498, 198949, 396450, 2152, 25)"
10014,1.2.0.0/16,"(10014, 2907, 7660, 11537, 10886, 27)"
10014,1.2.3.0/24,"(10014, 2497, 15830, 198949, 396450, 2152, 25)"
10015,1.2.0.0/16,"(10015, 6939, 52025, 42, 10886, 27)"
10015,1.2.3.0/24,"(10015, 6939, 4826, 198949, 396450, 2152, 25)"
10016,1.2.0.0/16,"(10016, 2497, 2907, 7660, 11537, 10886, 27)"
10016,1.2.3.0/24,"(10016, 2497, 15830, 198949, 396450, 2152, 25)"
10019,1.2.0.0/16,"(10019, 2500, 7660, 11537, 10886, 27)"
10019,1.2.3.0/24,"(10019, 9002, 198949, 396450, 2152, 25)"
1002,1.2.0.0/16,"(1002, 6939, 52025, 42, 10886, 27)"
1002,1.2.3.0/24,"(1002, 9002, 198949, 396450, 2152, 25)"
10021,1.2.0.0/16,"(10021, 8220, 7473, 20473, 52025, 42, 10886, 27)"
10021,1.2.3.0/24,"(10021, 8220, 7473, 9498, 198949, 396450, 2152, 25)"
10022,1.2.0.0/16,"(10022, 9790, 42, 10886, 27)"
10022,1.2.3.0/24,"(10022, 9790, 3356, 2152, 25)"
10023,1.2.0.0/16,"(10023, 133206, 6939, 52025, 42, 10886, 27)"
10023,1.2.3.0/24,"(10023, 133206, 4826, 198949, 396450, 2152, 25)"
10024,1.2.0.0/16,"(10024, 6939, 52025, 42, 10886, 27)"
10024,1.2.3.0/24,"(10024, 4826, 198949, 396450, 2152, 25)"
10025,1.2.0.0/16,"(10025, 135409, 7594, 42, 10886, 27)"
10025,1.2.3.0/24,"(10025, 135409, 4761, 15830, 198949, 396450, 2152, 25)"
10026,1.2.0.0/16,"(10026, 32787, 2516, 7660, 11537, 10886, 27)"
10026,1.2.3.0/24,"(10026, 32787, 2516, 15830, 198949, 396450, 2152, 25)"
10029,1.2.0.0/16,"(10029, 17660, 13335, 20473, 52025, 42, 10886, 27)"
10029,1.2.3.0/24,"(10029, 17660, 13335, 15830, 198949, 396450, 2152, 25)"
1003,1.2.0.0/16,"(1003, 6939, 52025, 42, 10886, 27)"
1003,1.2.3.0/24,"(1003, 6939, 4826, 198949, 396450, 2152, 25)"
10030,1.2.0.0/16,"(10030, 13335, 20473, 52025, 42, 10886, 27)"
10030,1.2.3.0/24,"(10030, 13335, 15830, 198949, 396450, 2152, 25)"
10031,1.2.0.0/16,"(10031, 45147, 3741, 42, 10886, 27)"
10031,1.2.3.0/24,"(10031, 45147, 4826, 198949, 396450, 2152, 25)"
10032,1.2.0.0/16,"(10032, 6939, 52025, 42, 10886, 27)"
10032,1.2.3.0/24,"(10032, 9002, 198949, 396450, 2152, 25)"
10034,1.2.0.0/16,"(10034, 9318, 15830, 20473, 52025, 42, 10886, 27)"
10034,1.2.3.0/24,"(10034, 9318, 15830, 198949, 396450, 2152, 25)"
10035,1.2.0.0/16,"(10035, 3786, 11164, 10886, 27)"
10035,1.2.3.0/24,"(10035, 3786, 2152, 25)"
10036,1.2.0.0/16,"(10036, 6939, 52025, 42, 10886, 27)"
10036,1.2.3.0/24,"(10036, 6939, 4826, 198949, 396450, 2152, 25)"
10037,1.2.0.0/16,"(10037, 9318, 15830, 20473, 52025, 42, 10886, 27)"
10037,1.2.3.0/24,"(10037, 9318, 15830, 198949, 396450, 2152, 25)"
10038,1.2.0.0/16,"(10038, 45974, 2914, 42, 10886, 27)"
10038,1.2.3.0/24,"(10038, 45974, 3786, 2152, 25)"
10039,1.2.0.0/16,"(10039, 9318, 15830, 20473, 52025, 42, 10886, 27)"
10039,1.2.3.0/24,"(10039, 9318, 15830, 198949, 396450, 2152, 25)"
1004,1.2.0.0/16,"(1004, 42831, 6461, 10886, 27)"
1004,1.2.3.0/24,"(1004, 23470, 4826, 198949, 396450, 2152, 25)"
10040,1.2.0.0/16,"(10040, 3786, 11164, 10886, 27)"
10040,1.2.3.0/24,"(10040, 3786, 2152, 25)"
10042,1.2.0.0/16,"(10042, 4766, 4651, 13335, 20473, 52025, 42, 10886, 27)"
10042,1.2.3.0/24,"(10042, 4766, 4651, 13335, 15830, 198949, 396450, 2152, 25)"
10043,1.2.0.0/16,"(10043, 9950, 17841, 3786, 11164, 10886, 27)"
10043,1.2.3.0/24,"(10043, 9950, 17841, 3786, 2152, 25)"
10044,1.2.0.0/16,"(10044, 23575, 17841, 3786, 11164, 10886, 27)"
10044,1.2.3.0/24,"(10044, 23575, 17841, 3786, 2152, 25)"
10045,1.2.0.0/16,"(10045, 9318, 15830, 20473, 52025, 42, 10886, 27)"
10045,1.2.3.0/24,"(10045, 9318, 15830, 198949, 396450, 2152, 25)"
10046,1.2.0.0/16,"(10046, 4766, 4651, 13335, 20473, 52025, 42, 10886, 27)"
10046,1.2.3.0/24,"(10046, 4766, 4651, 13335, 15830, 198949, 396450, 2152, 25)"
10049,1.2.0.0/16,"(10049, 137409, 8529, 9009, 60068, 52025, 42, 10886, 27)"
10049,1.2.3.0/24,"(10049, 137409, 8529, 42156, 198949, 396450, 2152, 25)"
10050,1.2.0.0/16,"(10050, 9318, 15830, 20473, 52025, 42, 10886, 27)"
